No,Category,API Name,Base URL,Auth Required,Tested,Status,Data Format,Description,Relevance to Platform,Rate Limit,Source
38,Space & Astronomy,NASA EONET v3,https://eonet.gsfc.nasa.gov/api/v3/,No,YES,PASS,JSON,"Natural events: wildfires, storms, floods, volcanoes, ice, dust","Real-time natural event monitoring, global hazard awareness",No API key required,Direct test
39,Space & Astronomy,NASA DONKI,https://api.nasa.gov/DONKI/,No (DEMO_KEY),YES,PASS,JSON,"Space weather: solar flares, CMEs, geomagnetic storms, radiation storms","Space weather monitoring, satellite risk, aurora prediction",DEMO_KEY: 30 req/hr,Direct test
40,Space & Astronomy,NASA NeoWs,https://api.nasa.gov/neo/rest/v1/,No (DEMO_KEY),YES,PASS,JSON,"Near-Earth objects: asteroids, comets, orbital data, close approaches","Asteroid tracking, impact risk assessment, space situational awareness",DEMO_KEY: 30 req/hr,Direct test
41,Space & Astronomy,Open Notify ISS,https://api.open-notify.org/,No,YES,PASS,JSON,"ISS real-time position, astronauts in space, crew count","ISS tracking, human spaceflight monitoring",No API key required,Direct test
42,Space & Astronomy,NASA GPM Precipitation,https://gpm1.gesdisc.eosdis.nasa.gov/,No,YES,PASS (directory),HDF5/NetCDF,"Global precipitation measurement satellite data","Precipitation monitoring, extreme rainfall, monsoon tracking",Free public data,Deep research
43,Demographics,Countries Now,https://countriesnow.space/api/,No,YES,PASS,JSON,"Population data by country, historical population, growth rates","Demographic intelligence, population impact analysis",No API key required,Direct test
44,Demographics,Agify,https://api.agify.io/,No,YES,PASS,JSON,"Predict age from first name using ML","User profiling, demographic inference, analytics",No limits,Direct test
45,Demographics,Nationalize,https://api.nationalize.io/,No,YES,PASS,JSON,"Predict nationality from first name using ML","User profiling, geographic inference, analytics",No limits,Direct test
46,Demographics,Genderize,https://api.genderize.io/,No,YES,PASS,JSON,"Predict gender from first name using ML","User profiling, demographic analysis, analytics",No limits,Direct test
47,Environment,CISA KEV,https://www.cisa.gov/sites/default/files/feeds/,No,YES,PASS,JSON,"Known Exploited Vulnerabilities catalog - actively exploited CVEs","Cybersecurity intelligence, vulnerability tracking, threat assessment",No API key required,Deep research
48,Environment,OpenFEMA,https://www.fema.gov/api/open/v2/,No,YES,PASS,JSON,"US disaster declarations, assistance programs, hazard history","Disaster intelligence, FEMA response tracking, historical analysis",No API key required,Deep research
49,Environment,EMSC Earthquake,https://www.seismicportal.eu/fdsnws/event/1/,No,YES,PASS,JSON,"European-Mediterranean seismic monitoring: earthquakes, felt reports","European seismic intelligence, cross-reference with USGS",No API key required,Deep research
50,HDX Humanitarian,Humanitarian Data Exchange,https://data.humdata.org/api/3/,No,YES,PASS,JSON,"Humanitarian datasets: crises, displacement, food security, health","Humanitarian intelligence, crisis response, needs assessment",No API key required,Deep research
51,Academic,Crossref,https://api.crossref.org/,No,YES,PASS,JSON,"Academic paper metadata: titles, authors, citations, DOIs","Research intelligence, scientific trend analysis, citation tracking",Polite usage (mailto header),Deep research
52,Academic,OpenAlex,https://api.openalex.org/,No,YES,PASS,JSON,"Research publications: authors, institutions, topics, concepts","Academic intelligence, research trend detection, institution analysis",Free (key for higher limits),Deep research
53,Academic,Semantic Scholar,https://api.semanticscholar.org/graph/v1/,No (optional key),YES,PASS,JSON,"Research papers: abstracts, citations, references, authors","Scientific knowledge graph, citation analysis, paper discovery",Free (key for higher limits),Deep research
54,Science & Education,Open Trivia DB,https://opentdb.com/api.php,No,YES,PASS,JSON,"Trivia questions across 20+ categories with difficulty levels","Education features, quiz generation, knowledge testing",No limits,Direct test
55,Science & Education,SWAPI (Star Wars),https://swapi.dev/api/,No,YES,PASS,JSON,"Star Wars universe data: planets, species, films, characters","Entertainment data, cultural reference, demo content",No limits,Direct test
56,Science & Education,PokeAPI,https://pokeapi.co/api/v2/,No,YES,PASS,JSON,"Pokemon data: species, abilities, stats, evolution chains","Gaming data, entertainment, educational content",No limits,Direct test
57,Science & Education,Numbers API,http://numbersapi.com/,No,YES,PASS,JSON/Text,"Math facts, trivia, dates, years for any number","Educational content, trivia generation, data enrichment",No limits,Direct test
58,NLP & Text,Datamuse,https://api.datamuse.com/,No,YES,PASS,JSON,"Word relationships: synonyms, antonyms, rhymes, semantics","Text analysis, concept expansion, semantic search enhancement",No API key required,Direct test
59,Entertainment,Cat Facts,https://catfact.ninja/,No,YES,PASS,JSON,"Random cat facts with length filtering","Fun content, engagement features, demo material",No limits,Direct test
60,Entertainment,Chuck Norris API,https://api.chucknorris.io/,No,YES,PASS,JSON,"Random Chuck Norris jokes, category filtering","Entertainment, engagement, humor features",No limits,Direct test
61,Entertainment,Advice Slip,https://api.adviceslip.com/,No,YES,PASS,JSON,"Random life advice strings","Motivational content, engagement features",No limits,Direct test
62,Entertainment,JokeAPI,https://v2.jokeapi.dev/,No,YES,PASS,JSON,"Jokes across multiple categories with safe mode","Entertainment, content generation, engagement",No limits,Direct test
63,Entertainment,iTunes Search,https://itunes.apple.com/search,No,YES,PASS,JSON,"Search music, podcasts, movies, apps, books on iTunes Store","Media search, entertainment intelligence, content discovery",No limits,Direct test
64,Food & Nutrition,Open Food Facts,https://world.openfoodfacts.org/api/v2/,No,YES,PASS,JSON,"Food product database: nutrition, ingredients, allergens, brands","Nutrition analysis, food safety, supply chain intelligence",No limits,Direct test and Deep research
65,Development & Testing,JSONPlaceholder,https://jsonplaceholder.typicode.com/,No,YES,PASS,JSON,"Fake REST API for testing: posts, comments, users, todos","Development testing, prototype data, API integration testing",No limits,Direct test
66,Development & Testing,Random Data API,https://randomuser.me/api/,No,YES,PASS,JSON,"Random user profiles: name, email, address, phone, avatar","Test data generation, user simulation, prototype building",No limits,Direct test
67,Machine Learning,GitHub Events,https://api.github.com/events,No,YES,PASS,JSON,"Public GitHub events: pushes, issues, pull requests, stars","Tech ecosystem monitoring, open-source activity tracking",60 req/hr (unauthenticated),Direct test
68,Machine Learning,GitHub Trending Repos,https://api.github.com/search/repositories,No,YES,PASS,JSON,"Repository search by keywords, stars, language, date","Technology trend detection, emerging tools intelligence",60 req/hr (unauthenticated),Direct test
