DL No.,Category,Data Layer,Layer ID,API Status,Backend Source
25,Satellite,MODIS Water Vapor,3_modis_web_services,YES (client-side),Tile layer loaded directly by CesiumJS from modis.gsfc.nasa.gov
26,Satellite,MODIS Thermal Anomalies,3_viirs_active_fires,YES (client-side),Tile layer loaded directly by CesiumJS from www.earthdata.nasa.gov
27,Satellite,MODIS Flood Extent,3_global_surface_water_explorer,YES (client-side),Tile layer loaded directly by CesiumJS from global-surface-water.appspot.com
28,Hazards,OpenFEMA,5_openfema,YES,Direct proxy via GET /api/data/:layerId → www.fema.gov
29,Hazards,USGS Earthquake Hazards,5_usgs_earthquake_hazards,YES,Direct proxy via GET /api/data/:layerId → earthquake.usgs.gov
30,Hazards,USGS Latest Earthquakes,5_usgs_latest_earthquakes,YES,Direct proxy via GET /api/data/:layerId → earthquake.usgs.gov
31,Hazards,IRIS Data Services,5_iris_data_services,YES,Direct proxy via GET /api/data/:layerId → ds.iris.edu
32,Hazards,GEOFON,5_geofon,YES,Direct proxy via GET /api/data/:layerId → geofon.gfz-potsdam.de
33,Hazards,EMSC,5_emsc,YES,Direct proxy via GET /api/data/:layerId → www.emsc-csem.org
34,Hazards,INGV,5_ingv,YES,Direct proxy via GET /api/data/:layerId → www.ingv.it
35,Hazards,ISC,5_isc,YES,Direct proxy via GET /api/data/:layerId → www.isc.ac.uk
36,Hazards,FDSN,5_fdsn,YES,Direct proxy via GET /api/data/:layerId → www.fdsn.org
37,Hazards,ORFEUS,5_orfeus,YES,Direct proxy via GET /api/data/:layerId → www.orfeus-eu.org
38,Hazards,GNS Science (NZ),5_gns_science_nz,YES,Direct proxy via GET /api/data/:layerId → www.gns.cri.nz
39,Hazards,JMA,5_jma,YES,Direct proxy via GET /api/data/:layerId → www.jma.go.jp
40,Hazards,PHIVOLCS,5_phivolcs,YES,Direct proxy via GET /api/data/:layerId → volcano.phivolcs.dost.gov.ph
41,Hazards,IGN (Spain),5_ign_spain,YES,Direct proxy via GET /api/data/:layerId → www.ign.es
42,Hazards,BGS Earthquake Data,5_bgs_earthquake_data,YES,Direct proxy via GET /api/data/:layerId → www.bgs.ac.uk
43,Hazards,GDACS,5_gdacs,YES,Direct proxy via GET /api/data/:layerId → www.gdacs.org
44,Hazards,ReliefWeb,5_reliefweb,YES,Direct proxy via GET /api/data/:layerId → reliefweb.int
45,Hazards,Global Flood Database,5_global_flood_database,YES,Direct proxy via GET /api/data/:layerId → global-flood-database.cloudtostreet.info
46,Hazards,EM-DAT,5_em_dat,YES,Direct proxy via GET /api/data/:layerId → www.emdat.be
47,Hazards,DesInventar,5_desinventar,YES,Direct proxy via GET /api/data/:layerId → www.desinventar.net
48,Hazards,NASA Disasters Portal,5_nasa_disasters_portal,YES,Direct proxy via GET /api/data/:layerId → disasters.nasa.gov
49,Hazards,ThinkHazard!,5_thinkhazard,YES,Direct proxy via GET /api/data/:layerId → thinkhazard.org
50,Hazards,INFORM Index,5_inform_index,YES,Direct proxy via GET /api/data/:layerId → drmkc.jrc.ec.europa.eu
51,Hazards,OpenDRI,5_opendri,YES,Direct proxy via GET /api/data/:layerId → opendri.org
52,Hazards,UN OCHA HDX,5_un_ocha_hdx,YES,Direct proxy via GET /api/data/:layerId → data.humdata.org
53,Hazards,Copernicus EMS,5_copernicus_ems,YES,Direct proxy via GET /api/data/:layerId → emergency.copernicus.eu
54,Hazards,GLIDE,5_glide,YES,Direct proxy via GET /api/data/:layerId → www.glidenumber.net
55,Hazards,NASA Landslide Portal,5_nasa_landslide_portal,YES,Direct proxy via GET /api/data/:layerId → landslides.nasa.gov
56,Space,CelesTrak GP API,6_celestrak_gp_api,YES,Direct proxy via GET /api/data/:layerId → celestrak.org
57,Advanced,Windy Webcams,7_windy_webcams,YES,Direct proxy via GET /api/data/:layerId → api.windy.com
58,Advanced,OpenWebcamDB,7_openwebcamdb,YES,Direct proxy via GET /api/data/:layerId → openwebcamdb.com
59,Advanced,Webcams.travel,7_webcams_travel,YES,Direct proxy via GET /api/data/:layerId → www.webcams.travel
60,Geospatial,OSM Overpass,8_osm_overpass,YES,Direct proxy via GET /api/data/:layerId → overpass-api.de
61,Geospatial,OSM Nominatim,8_osm_nominatim,YES,Direct proxy via GET /api/data/:layerId → nominatim.org
62,Geospatial,GeoNames,8_geonames,YES,Direct proxy via GET /api/data/:layerId → www.geonames.org
63,Geospatial,OpenTopography,8_opentopography,YES,Direct proxy via GET /api/data/:layerId → opentopography.org
64,Geospatial,Openrouteservice,8_openrouteservice,YES,Direct proxy via GET /api/data/:layerId → openrouteservice.org
65,Geospatial,Natural Earth,8_natural_earth,YES,Direct proxy via GET /api/data/:layerId → www.naturalearthdata.com
66,Geospatial,OpenStreetMap,8_openstreetmap,YES,Direct proxy via GET /api/data/:layerId → www.openstreetmap.org
67,Geospatial,Geofabrik,8_geofabrik,YES,Direct proxy via GET /api/data/:layerId → www.geofabrik.de
68,Geospatial,Overture Maps,8_overture_maps,YES,Direct proxy via GET /api/data/:layerId → overturemaps.org
69,Geospatial,OpenAddresses,8_openaddresses,YES,Direct proxy via GET /api/data/:layerId → openaddresses.io
70,Geospatial,OpenRailwayMap,8_openrailwaymap,YES,Direct proxy via GET /api/data/:layerId → www.openrailwaymap.org
71,Geospatial,3D City DB,8_3d_city_db,YES,Direct proxy via GET /api/data/:layerId → www.3dcitydb.org
72,Geospatial,GeoPlatform.gov,8_geoplatform_gov,YES,Direct proxy via GET /api/data/:layerId → www.geoplatform.gov
73,Geospatial,Data.gov,8_data_gov,YES,Direct proxy via GET /api/data/:layerId → www.data.gov
74,Geospatial,EU Open Data Portal,8_eu_open_data_portal,YES,Direct proxy via GET /api/data/:layerId → data.europa.eu
75,Geospatial,World Bank Open Data,8_world_bank_open_data,YES,Direct proxy via GET /api/data/:layerId → data.worldbank.org
76,Geospatial,UN Data,8_un_data,YES,Direct proxy via GET /api/data/:layerId → data.un.org
77,Geospatial,Humanitarian Data Exchange,8_humanitarian_data_exchange,YES,Direct proxy via GET /api/data/:layerId → data.humdata.org
78,Atmosphere,OpenAQ,9_openaq,YES,Direct proxy via GET /api/data/:layerId → openaq.org
79,Atmosphere,World AQI API,9_world_aqi_api,YES,Direct proxy via GET /api/data/:layerId → aqicn.org
80,Atmosphere,Lightning Alerts (OpenWeather),9_lightning_alerts_openweather,YES,Direct proxy via GET /api/data/:layerId → openweathermap.org
81,Atmosphere,Copernicus Atmosphere,9_copernicus_atmosphere,YES,Direct proxy via GET /api/data/:layerId → atmosphere.copernicus.eu
82,Atmosphere,NASA GMAO,9_nasa_gmao,YES,Direct proxy via GET /api/data/:layerId → gmao.gsfc.nasa.gov
83,Atmosphere,AIRS (NASA),9_airs_nasa,YES,Direct proxy via GET /api/data/:layerId → airs.jpl.nasa.gov
84,Atmosphere,OMI (NASA),9_omi_nasa,YES,Direct proxy via GET /api/data/:layerId → ozoneaq.gsfc.nasa.gov
85,Atmosphere,EPA AirData,9_epa_airdata,YES,Direct proxy via GET /api/data/:layerId → www.epa.gov
86,Atmosphere,AirNow API,9_airnow_api,YES,Direct proxy via GET /api/data/:layerId → www.airnowapi.org
87,Atmosphere,European Environment Agency,9_european_environment_agency,YES,Direct proxy via GET /api/data/:layerId → www.eea.europa.eu
88,Atmosphere,PurpleAir API,9_purpleair_api,YES,Direct proxy via GET /api/data/:layerId → api.purpleair.com
89,Atmosphere,WAQI,9_waqi,YES,Direct proxy via GET /api/data/:layerId → waqi.info
90,Atmosphere,CAMS Global Reanalysis,9_cams_global_reanalysis,YES,Direct proxy via GET /api/data/:layerId → ads.atmosphere.copernicus.eu
91,Atmosphere,HYSPLIT,9_hysplit,YES,Direct proxy via GET /api/data/:layerId → www.ready.noaa.gov
92,Atmosphere,SILAM,9_silam,YES,Direct proxy via GET /api/data/:layerId → silam.fmi.fi
93,Atmosphere,MACC,9_macc,YES,Direct proxy via GET /api/data/:layerId → atmosphere.copernicus.eu
94,Atmosphere,TEMPO,9_tempo,YES,Direct proxy via GET /api/data/:layerId → tempo.si.edu
95,Atmosphere,Pandonia,9_pandonia,YES,Direct proxy via GET /api/data/:layerId → www.pandonia-global-network.org
96,Advanced,Transitland API,10_transitland_api,YES,Direct proxy via GET /api/data/:layerId → www.transit.land
97,Geospatial,HDX,11_hdx,YES,Direct proxy via GET /api/data/:layerId → data.humdata.org
98,Geospatial,WorldPop Database,11_worldpop_database,YES,Direct proxy via GET /api/data/:layerId → www.worldpop.org
99,Weather,NHC Tropical Cyclone Data,12_nhc_tropical_cyclone_data,YES,Direct proxy via GET /api/data/:layerId → www.nhc.noaa.gov
100,Weather,IBTrACS,12_ibtracs,YES,Direct proxy via GET /api/data/:layerId → www.ncei.noaa.gov
101,Geospatial,WorldPop,14_worldpop,YES,Direct proxy via GET /api/data/:layerId → www.worldpop.org
102,Geospatial,GHSL,14_ghsl,YES,Direct proxy via GET /api/data/:layerId → ghsl.jrc.ec.europa.eu
103,Geospatial,LandScan,14_landscan,YES,Direct proxy via GET /api/data/:layerId → landscan.ornl.gov
104,Geospatial,Facebook Data for Good,14_facebook_data_for_good,YES,Direct proxy via GET /api/data/:layerId → dataforgood.facebook.com
105,Geospatial,Overture Maps Buildings,14_overture_maps_buildings,YES,Direct proxy via GET /api/data/:layerId → overturemaps.org
106,Geospatial,Microsoft Building Footprints,14_microsoft_building_footprints,YES,Direct proxy via GET /api/data/:layerId → github.com
107,Advanced,CDC WONDER,15_cdc_wonder,YES,Direct proxy via GET /api/data/:layerId → wonder.cdc.gov
108,Advanced,WHO Global Health Observatory,15_who_global_health_observatory,YES,Direct proxy via GET /api/data/:layerId → www.who.int
109,Advanced,Global Heat Health Info,15_global_heat_health_info,YES,Direct proxy via GET /api/data/:layerId → ghhin.org
110,Advanced,National Allergy Bureau,15_national_allergy_bureau,YES,Direct proxy via GET /api/data/:layerId → www.aaaai.org
111,Advanced,OpenAQ Health,15_openaq_health,YES,Direct proxy via GET /api/data/:layerId → openaq.org
112,Advanced,HealthMap,15_healthmap,YES,Direct proxy via GET /api/data/:layerId → www.healthmap.org
113,Advanced,VectorBase,15_vectorbase,YES,Direct proxy via GET /api/data/:layerId → vectorbase.org
114,Advanced,Malaria Atlas Project,15_malaria_atlas_project,YES,Direct proxy via GET /api/data/:layerId → malariaatlas.org
115,Geology,NOAA Paleoclimatology,16_noaa_paleoclimatology,YES,Direct proxy via GET /api/data/:layerId → www.ncei.noaa.gov
116,Geology,PAGES,16_pages,YES,Direct proxy via GET /api/data/:layerId → pastglobalchanges.org
117,Geology,Neotoma,16_neotoma,YES,Direct proxy via GET /api/data/:layerId → www.neotomadb.org
118,Geology,WDC Paleoclimatology,16_wdc_paleoclimatology,YES,Direct proxy via GET /api/data/:layerId → www.ncei.noaa.gov
119,Geology,ITRDB,16_itrdb,YES,Direct proxy via GET /api/data/:layerId → www.ncei.noaa.gov
120,Geology,SISAL,16_sisal,YES,Direct proxy via GET /api/data/:layerId → pastglobalchanges.org
121,Geology,PANGAEA,16_pangaea,YES,Direct proxy via GET /api/data/:layerId → www.pangaea.de
122,Geology,Macrostrat,16_macrostrat,YES,Direct proxy via GET /api/data/:layerId → macrostrat.org
123,Geology,PBDB,16_pbdb,YES,Direct proxy via GET /api/data/:layerId → paleobiodb.org
124,Geology,GeoDeepDive,16_geodeepdive,YES,Direct proxy via GET /api/data/:layerId → geodeepdive.org
125,Geology,IGRF Model,17_igrf_model,YES,Direct proxy via GET /api/data/:layerId → www.ngdc.noaa.gov
126,Geology,WMM,17_wmm,YES,Direct proxy via GET /api/data/:layerId → www.ngdc.noaa.gov
127,Geology,EMM2017,17_emm2017,YES,Direct proxy via GET /api/data/:layerId → www.ngdc.noaa.gov
128,Geology,WDMAM,17_wdmam,YES,Direct proxy via GET /api/data/:layerId → wdmam.org
129,Geology,IGFS,17_igfs,YES,Direct proxy via GET /api/data/:layerId → www.igfs.net
130,Geology,EGM2008,17_egm2008,YES,Direct proxy via GET /api/data/:layerId → earth-info.nga.mil
131,Geology,EIGEN,17_eigen,YES,Direct proxy via GET /api/data/:layerId → icgem.gfz-potsdam.de
132,Geology,GOCE,17_goce,YES,Direct proxy via GET /api/data/:layerId → earth.esa.int
133,Geology,GMRT,17_gmrt,YES,Direct proxy via GET /api/data/:layerId → www.gmrt.org
134,Geology,Crust 1.0,17_crust_1_0,YES,Direct proxy via GET /api/data/:layerId → igppweb.ucsd.edu
135,Geology,LITHO1.0,17_litho1_0,YES,Direct proxy via GET /api/data/:layerId → igppweb.ucsd.edu
136,Geology,USGS Mineral Resources,18_usgs_mineral_resources,YES,Direct proxy via GET /api/data/:layerId → mrdata.usgs.gov
137,Geology,NGDS,18_ngds,YES,Direct proxy via GET /api/data/:layerId → gdr.openei.org
138,Geology,BOEM Data Center,18_boem_data_center,YES,Direct proxy via GET /api/data/:layerId → www.boem.gov
139,Geology,OpenEI,18_openei,YES,Direct proxy via GET /api/data/:layerId → openei.org
140,Geology,NREL Geothermal Prospector,18_nrel_geothermal_prospector,YES,Direct proxy via GET /api/data/:layerId → maps.nrel.gov
141,Geology,Petrel Open Data,18_petrel_open_data,YES,Direct proxy via GET /api/data/:layerId → github.com
142,Ecology,Global Mangrove Watch,19_global_mangrove_watch,YES,Direct proxy via GET /api/data/:layerId → www.globalmangrovewatch.org
143,Ecology,Digital Coast (NOAA),19_digital_coast_noaa,YES,Direct proxy via GET /api/data/:layerId → coast.noaa.gov
144,Ecology,SeagrassWatch,19_seagrasswatch,YES,Direct proxy via GET /api/data/:layerId → www.seagrasswatch.org
145,Ecology,Wetlands International,19_wetlands_international,YES,Direct proxy via GET /api/data/:layerId → www.wetlands.org
146,Ecology,RAMSAR Sites,19_ramsar_sites,YES,Direct proxy via GET /api/data/:layerId → rsis.ramsar.org
147,Ecology,Coastal Wetland Inventory,19_coastal_wetland_inventory,YES,Direct proxy via GET /api/data/:layerId → www.fws.gov
148,Ecology,Global Wetlands Map,19_global_wetlands_map,YES,Direct proxy via GET /api/data/:layerId → www2.cifor.org
149,Ecology,Coastal Relief Model,19_coastal_relief_model,YES,Direct proxy via GET /api/data/:layerId → www.ngdc.noaa.gov
150,Ecology,Movebank API,20_movebank_api,YES,Direct proxy via GET /api/data/:layerId → github.com
151,Ecology,eBird,20_ebird,YES,Direct proxy via GET /api/data/:layerId → ebird.org
152,Ecology,eBird Basic Dataset,20_ebird_basic_dataset,YES,Direct proxy via GET /api/data/:layerId → ebird.org
153,Ecology,iNaturalist,20_inaturalist,YES,Direct proxy via GET /api/data/:layerId → www.inaturalist.org
154,Ecology,OBIS,20_obis,YES,Direct proxy via GET /api/data/:layerId → obis.org
155,Ecology,NOAA Passive Acoustics,20_noaa_passive_acoustics,YES,Direct proxy via GET /api/data/:layerId → www.ncei.noaa.gov
156,Ecology,xeno-canto,20_xeno_canto,YES,Direct proxy via GET /api/data/:layerId → www.xeno-canto.org
157,Ecology,Macaulay Library,20_macaulay_library,YES,Direct proxy via GET /api/data/:layerId → www.macaulaylibrary.org
158,Ecology,Wildlife Insights,20_wildlife_insights,YES,Direct proxy via GET /api/data/:layerId → www.wildlifeinsights.org
159,Geology,ISRIC World Soil Info,22_isric_world_soil_info,YES,Direct proxy via GET /api/data/:layerId → www.isric.org
160,Geology,SoilGrids,22_soilgrids,YES,Direct proxy via GET /api/data/:layerId → www.isric.org
161,Geology,HWSD,22_hwsd,YES,Direct proxy via GET /api/data/:layerId → www.fao.org
162,Geology,WoSIS,22_wosis,YES,Direct proxy via GET /api/data/:layerId → www.isric.org
163,Geology,ICE-D,22_ice_d,YES,Direct proxy via GET /api/data/:layerId → www.ice-d.org
164,Advanced,IGS,25_igs,YES,Direct proxy via GET /api/data/:layerId → igs.org
165,Advanced,IGS Data Center,25_igs_data_center,YES,Direct proxy via GET /api/data/:layerId → cddis.nasa.gov
166,Advanced,UNAVCO Data Archive,25_unavco_data_archive,YES,Direct proxy via GET /api/data/:layerId → www.unavco.org
167,Advanced,NGS CORS,25_ngs_cors,YES,Direct proxy via GET /api/data/:layerId → geodesy.noaa.gov
168,Advanced,EUREF,25_euref,YES,Direct proxy via GET /api/data/:layerId → www.epncb.oma.be
169,Advanced,SIRGAS,25_sirgas,YES,Direct proxy via GET /api/data/:layerId → www.sirgas.org
170,Advanced,ITRF,25_itrf,YES,Direct proxy via GET /api/data/:layerId → itrf.ign.fr
171,Advanced,SONEL,25_sonel,YES,Direct proxy via GET /api/data/:layerId → www.sonel.org
172,Advanced,EPOS-GNSS,25_epos_gnss,YES,Direct proxy via GET /api/data/:layerId → www.epos-eu.org
173,Advanced,ILRS,25_ilrs,YES,Direct proxy via GET /api/data/:layerId → ilrs.gsfc.nasa.gov
174,Advanced,ILRS Data Products,25_ilrs_data_products,YES,Direct proxy via GET /api/data/:layerId → ilrs.gsfc.nasa.gov
175,Advanced,IVS,25_ivs,YES,Direct proxy via GET /api/data/:layerId → ivscc.gsfc.nasa.gov
176,Advanced,IVS Data Products,25_ivs_data_products,YES,Direct proxy via GET /api/data/:layerId → ivscc.gsfc.nasa.gov
177,Advanced,CDDIS,25_cddis,YES,Direct proxy via GET /api/data/:layerId → cddis.nasa.gov
178,Advanced,PBO H2O,25_pbo_h2o,YES,Direct proxy via GET /api/data/:layerId → www.unavco.org
179,Weather,US Drought Monitor,26_us_drought_monitor,YES,Direct proxy via GET /api/data/:layerId → droughtmonitor.unl.edu
180,Water Quality,USGS NAWQA,27_usgs_nawqa,YES,Direct proxy via GET /api/data/:layerId → api.waterdata.usgs.gov
181,Cryosphere,NSIDC Snow Today,28_nsidc_snow_today,YES,Direct proxy via GET /api/data/:layerId → nsidc.org
182,Cryosphere,Rutgers Global Snow Lab,28_rutgers_global_snow_lab,YES,Direct proxy via GET /api/data/:layerId → climate.rutgers.edu
183,Cryosphere,GlobSnow,28_globsnow,YES,Direct proxy via GET /api/data/:layerId → www.globsnow.info
184,Cryosphere,Avalanche.org,28_avalanche_org,YES,Direct proxy via GET /api/data/:layerId → www.avalanche.org
185,Cryosphere,Canadian Ice Service,28_canadian_ice_service,YES,Direct proxy via GET /api/data/:layerId → www.canada.ca
186,Cryosphere,Great Lakes Ice,28_great_lakes_ice,YES,Direct proxy via GET /api/data/:layerId → www.glerl.noaa.gov
187,Aviation,Tokyo VAAC,29_tokyo_vaac,YES,Direct proxy via GET /api/data/:layerId → ds.data.jma.go.jp
188,Aviation,Anchorage VAAC,29_anchorage_vaac,YES,Direct proxy via GET /api/data/:layerId → www.weather.gov
189,Aviation,Washington VAAC,29_washington_vaac,YES,Direct proxy via GET /api/data/:layerId → www.nhc.noaa.gov
190,Aviation,WOVOdat,29_wovodat,YES,Direct proxy via GET /api/data/:layerId → www.wovodat.org
191,Aviation,NASA SO2 Monitoring,29_nasa_so2_monitoring,YES,Direct proxy via GET /api/data/:layerId → so2.gsfc.nasa.gov
192,Aviation,NOAA SO2 Portal,29_noaa_so2_portal,YES,Direct proxy via GET /api/data/:layerId → satepsanone.nesdis.noaa.gov
193,Aviation,Volcano Discovery,29_volcano_discovery,YES,Direct proxy via GET /api/data/:layerId → www.volcanodiscovery.com
194,ARGO Floats,ARGO Floats,31_argo_floats,YES,Direct proxy via GET /api/data/:layerId → erddap.ifremer.fr
195,Tides,NOAA Tides & Currents,31_noaa_tides_currents,YES,Direct proxy via GET /api/data/:layerId → api.tidesandcurrents.noaa.gov
196,Advanced,USGS Water Data,32_usgs_water_data,YES,Direct proxy via GET /api/data/:layerId → api.waterdata.usgs.gov
197,Advanced,USGS Water Services,32_usgs_water_services,YES,Direct proxy via GET /api/data/:layerId → waterservices.usgs.gov
198,Advanced,GRDC,32_grdc,YES,Direct proxy via GET /api/data/:layerId → portal.grdc.bafg.de
199,Advanced,HydroSHEDS,32_hydrosheds,YES,Direct proxy via GET /api/data/:layerId → www.hydrosheds.org
200,Advanced,SMAP (NASA),32_smap_nasa,YES,Direct proxy via GET /api/data/:layerId → smap.jpl.nasa.gov
201,Advanced,FLDAS Soil Moisture,32_fldas_soil_moisture,YES,Direct proxy via GET /api/data/:layerId → ldas.gsfc.nasa.gov
202,Advanced,GLDAS,32_gldas,YES,Direct proxy via GET /api/data/:layerId → ldas.gsfc.nasa.gov
203,Advanced,GRACE-FO,32_grace_fo,YES,Direct proxy via GET /api/data/:layerId → grace.jpl.nasa.gov
204,Advanced,AQUASTAT,32_aquastat,YES,Direct proxy via GET /api/data/:layerId → www.fao.org
205,Advanced,CUAHSI HydroShare,32_cuahsi_hydroshare,YES,Direct proxy via GET /api/data/:layerId → www.hydroshare.org
206,Advanced,WRI Aqueduct,32_wri_aqueduct,YES,Direct proxy via GET /api/data/:layerId → www.wri.org
207,Advanced,OpenAgua,32_openagua,YES,Direct proxy via GET /api/data/:layerId → www.openagua.org
208,Advanced,iRain,32_irain,YES,Direct proxy via GET /api/data/:layerId → irain.eng.uci.edu
209,Cryosphere,NSIDC,34_nsidc,YES,Direct proxy via GET /api/data/:layerId → nsidc.org
210,Cryosphere,Arctic Data Explorer,34_arctic_data_explorer,YES,Direct proxy via GET /api/data/:layerId → nsidc.org
211,Cryosphere,Global Cryosphere Watch,34_global_cryosphere_watch,YES,Direct proxy via GET /api/data/:layerId → globalcryospherewatch.org
212,Cryosphere,WGMS,34_wgms,YES,Direct proxy via GET /api/data/:layerId → wgms.ch
213,Cryosphere,RGI,34_rgi,YES,Direct proxy via GET /api/data/:layerId → www.glims.org
214,Cryosphere,GLIMS,34_glims,YES,Direct proxy via GET /api/data/:layerId → www.glims.org
215,Cryosphere,ICESat-2,34_icesat_2,YES,Direct proxy via GET /api/data/:layerId → icesat-2.gsfc.nasa.gov
216,Cryosphere,CryoSat-2,34_cryosat_2,YES,Direct proxy via GET /api/data/:layerId → earth.esa.int
217,Cryosphere,Operation IceBridge,34_operation_icebridge,YES,Direct proxy via GET /api/data/:layerId → icebridge.gsfc.nasa.gov
218,Cryosphere,OSI SAF,34_osi_saf,YES,Direct proxy via GET /api/data/:layerId → osi-saf.eumetsat.int
219,Cryosphere,Polar View,34_polar_view,YES,Direct proxy via GET /api/data/:layerId → www.polarview.org
220,Cryosphere,GTN-P,34_gtn_p,YES,Direct proxy via GET /api/data/:layerId → gtnp.arcticportal.org
221,Cryosphere,Iceberg Tracker,34_iceberg_tracker,YES,Direct proxy via GET /api/data/:layerId → www.icebergfinder.com
222,Cryosphere,Snow Today,34_snow_today,YES,Direct proxy via GET /api/data/:layerId → nsidc.org
223,Geology,BGS,35_bgs,YES,Direct proxy via GET /api/data/:layerId → www.bgs.ac.uk
224,Geology,IGRF,35_igrf,YES,Direct proxy via GET /api/data/:layerId → www.ngdc.noaa.gov
225,Geology,INTERMAGNET Data,35_intermagnet_data,YES,Direct proxy via GET /api/data/:layerId → intermagnet.github.io
226,Geology,EarthScope,35_earthscope,YES,Direct proxy via GET /api/data/:layerId → www.earthscope.org
227,Geology,SOPAC,35_sopac,YES,Direct proxy via GET /api/data/:layerId → sopac-csrc.ucsd.edu
228,Geology,EPOS,35_epos,YES,Direct proxy via GET /api/data/:layerId → www.epos-eu.org
229,Geology,GFZ Data Services,35_gfz_data_services,YES,Direct proxy via GET /api/data/:layerId → dataservices.gfz-potsdam.de
230,Geology,NGDC Data,35_ngdc_data,YES,Direct proxy via GET /api/data/:layerId → www.ngdc.noaa.gov
231,Ecology,Map of Life,36_map_of_life,YES,Direct proxy via GET /api/data/:layerId → mol.org
232,Ecology,MODIS Land Cover,36_modis_land_cover,YES,Direct proxy via GET /api/data/:layerId → modis.gsfc.nasa.gov
233,Ecology,Copernicus Land Service,36_copernicus_land_service,YES,Direct proxy via GET /api/data/:layerId → land.copernicus.eu
234,Ecology,Harmonized World Soil DB,36_harmonized_world_soil_db,YES,Direct proxy via GET /api/data/:layerId → www.fao.org
235,Ecology,OpenLandMap,36_openlandmap,YES,Direct proxy via GET /api/data/:layerId → openlandmap.org
236,Ecology,EarthEnv,36_earthenv,YES,Direct proxy via GET /api/data/:layerId → www.earthenv.org
237,Ecology,CHELSA,36_chelsa,YES,Direct proxy via GET /api/data/:layerId → chelsa-climate.org
238,Ecology,EcoData Retriever,36_ecodata_retriever,YES,Direct proxy via GET /api/data/:layerId → ecodataretriever.org
239,Ecology,NEON,36_neon,YES,Direct proxy via GET /api/data/:layerId → www.neonscience.org
240,Ecology,LTER Network,36_lter_network,YES,Direct proxy via GET /api/data/:layerId → lternet.edu
241,Ecology,ALA,36_ala,YES,Direct proxy via GET /api/data/:layerId → www.ala.org.au
242,Ecology,Global Forest Watch,36_global_forest_watch,YES,Direct proxy via GET /api/data/:layerId → www.globalforestwatch.org
